quality_test_id,row_index,expected_invalid,defect_type
quality_eval_0064,64,True,invalid_soil_moisture
quality_eval_0065,65,False,none
quality_eval_0066,66,False,none
quality_eval_0067,67,False,none
quality_eval_0068,68,True,harvest_before_sowing
quality_eval_0069,69,True,invalid_soil_moisture
quality_eval_0070,70,False,none
quality_eval_0071,71,False,none
quality_eval_0072,72,True,missing_sensor_id
quality_eval_0073,73,False,none
quality_eval_0074,74,False,none
quality_eval_0075,75,False,none
quality_eval_0076,76,False,none
quality_eval_0077,77,False,none
quality_eval_0078,78,True,invalid_humidity
quality_eval_0079,79,False,none
quality_eval_0080,80,False,none
quality_eval_0081,81,True,harvest_before_sowing
quality_eval_0082,82,False,none
quality_eval_0083,83,True,malformed_timestamp
quality_eval_0084,84,False,none
quality_eval_0085,85,False,none
quality_eval_0086,86,False,none
quality_eval_0087,87,True,harvest_before_sowing
quality_eval_0088,88,False,none
quality_eval_0089,89,False,none
quality_eval_0090,90,True,negative_rainfall
quality_eval_0091,91,False,none
quality_eval_0092,92,True,invalid_humidity
quality_eval_0093,93,False,none
quality_eval_0094,94,False,none
quality_eval_0095,95,False,none
quality_eval_0096,96,True,harvest_before_sowing
quality_eval_0097,97,False,none
quality_eval_0098,98,True,invalid_ndvi
quality_eval_0099,99,False,none
quality_eval_0100,100,False,none
quality_eval_0101,101,False,none
quality_eval_0102,102,False,none
quality_eval_0103,103,False,none
quality_eval_0104,104,False,none
quality_eval_0105,105,True,invalid_soil_moisture
quality_eval_0106,106,False,none
quality_eval_0107,107,False,none
quality_eval_0108,108,False,none
quality_eval_0109,109,False,none
quality_eval_0110,110,False,none
quality_eval_0111,111,False,none
quality_eval_0112,112,False,none
quality_eval_0113,113,False,none
quality_eval_0114,114,False,none
quality_eval_0115,115,False,none
quality_eval_0116,116,False,none
quality_eval_0117,117,True,invalid_soil_moisture
quality_eval_0118,118,False,none
quality_eval_0119,119,True,malformed_timestamp
quality_eval_0120,120,False,none
quality_eval_0121,121,False,none
quality_eval_0122,122,False,none
quality_eval_0123,123,False,none
quality_eval_0124,124,False,none
quality_eval_0125,125,True,missing_sensor_id
quality_eval_0126,126,False,none
quality_eval_0127,127,False,none
quality_eval_0128,128,False,none
quality_eval_0129,129,False,none
quality_eval_0130,130,False,none
quality_eval_0131,131,True,invalid_soil_moisture
quality_eval_0132,132,False,none
quality_eval_0133,133,False,none
quality_eval_0134,134,True,invalid_soil_ph
quality_eval_0135,135,True,invalid_soil_moisture
quality_eval_0136,136,True,invalid_soil_moisture
quality_eval_0137,137,True,invalid_soil_moisture
quality_eval_0138,138,False,none
quality_eval_0139,139,True,negative_rainfall
quality_eval_0140,140,False,none
quality_eval_0141,141,False,none
quality_eval_0142,142,False,none
quality_eval_0143,143,False,none
quality_eval_0144,144,False,none
quality_eval_0145,145,False,none
quality_eval_0146,146,False,none
quality_eval_0147,147,True,missing_sensor_id
quality_eval_0148,148,False,none
quality_eval_0149,149,True,missing_sensor_id
quality_eval_0150,150,False,none
quality_eval_0151,151,False,none
quality_eval_0152,152,False,none
quality_eval_0153,153,False,none
quality_eval_0154,154,False,none
quality_eval_0155,155,False,none
quality_eval_0156,156,True,invalid_soil_moisture
quality_eval_0157,157,False,none
quality_eval_0158,158,False,none
quality_eval_0159,159,False,none
quality_eval_0160,160,False,none
quality_eval_0161,161,True,harvest_before_sowing
quality_eval_0162,162,False,none
quality_eval_0163,163,False,none
quality_eval_0164,164,False,none
quality_eval_0165,165,False,none
quality_eval_0166,166,False,none
quality_eval_0167,167,False,none
quality_eval_0168,168,False,none
quality_eval_0169,169,False,none
quality_eval_0170,170,True,invalid_soil_ph
quality_eval_0171,171,True,missing_sensor_id
quality_eval_0172,172,True,invalid_ndvi
quality_eval_0173,173,False,none
quality_eval_0174,174,True,malformed_timestamp
quality_eval_0175,175,True,invalid_ndvi
quality_eval_0176,176,False,none
quality_eval_0177,177,False,none
quality_eval_0178,178,False,none
quality_eval_0179,179,False,none
quality_eval_0180,180,True,invalid_soil_moisture
quality_eval_0181,181,False,none
quality_eval_0182,182,False,none
quality_eval_0183,183,False,none
quality_eval_0184,184,False,none
quality_eval_0185,185,False,none
quality_eval_0186,186,True,invalid_humidity
quality_eval_0187,187,False,none
quality_eval_0188,188,False,none
quality_eval_0189,189,False,none
quality_eval_0190,190,False,none
quality_eval_0191,191,True,missing_sensor_id
quality_eval_0192,192,False,none
quality_eval_0193,193,True,invalid_soil_moisture
quality_eval_0194,194,True,negative_rainfall
quality_eval_0195,195,False,none
quality_eval_0196,196,False,none
quality_eval_0197,197,False,none
quality_eval_0198,198,True,malformed_timestamp
quality_eval_0199,199,False,none
quality_eval_0200,200,True,malformed_timestamp
quality_eval_0201,201,False,none
quality_eval_0202,202,False,none
quality_eval_0203,203,True,malformed_timestamp
quality_eval_0204,204,False,none
quality_eval_0205,205,False,none
quality_eval_0206,206,False,none
quality_eval_0207,207,True,invalid_humidity
quality_eval_0208,208,True,invalid_ndvi
quality_eval_0209,209,False,none
quality_eval_0210,210,False,none
quality_eval_0211,211,False,none
quality_eval_0212,212,False,none
quality_eval_0213,213,False,none
quality_eval_0214,214,True,invalid_humidity
quality_eval_0215,215,True,invalid_soil_ph
quality_eval_0216,216,False,none
quality_eval_0217,217,False,none
quality_eval_0218,218,False,none
quality_eval_0219,219,False,none
quality_eval_0220,220,True,invalid_humidity
quality_eval_0221,221,False,none
quality_eval_0222,222,True,harvest_before_sowing
quality_eval_0223,223,True,malformed_timestamp
quality_eval_0224,224,False,none
quality_eval_0225,225,False,none
quality_eval_0226,226,False,none
quality_eval_0227,227,True,malformed_timestamp
quality_eval_0228,228,False,none
quality_eval_0229,229,True,negative_rainfall
quality_eval_0230,230,False,none
quality_eval_0231,231,False,none
quality_eval_0232,232,False,none
quality_eval_0233,233,True,invalid_ndvi
quality_eval_0234,234,False,none
quality_eval_0235,235,False,none
quality_eval_0236,236,True,invalid_soil_moisture
quality_eval_0237,237,False,none
quality_eval_0238,238,False,none
quality_eval_0239,239,False,none
quality_eval_0240,240,True,invalid_humidity
quality_eval_0241,241,False,none
quality_eval_0242,242,False,none
quality_eval_0243,243,False,none
quality_eval_0244,244,True,invalid_humidity
quality_eval_0245,245,False,none
quality_eval_0246,246,False,none
quality_eval_0247,247,True,harvest_before_sowing
quality_eval_0248,248,True,negative_rainfall
quality_eval_0249,249,True,invalid_ndvi
quality_eval_0250,250,False,none
quality_eval_0251,251,False,none
quality_eval_0252,252,False,none
quality_eval_0253,253,True,negative_rainfall
quality_eval_0254,254,False,none
quality_eval_0255,255,False,none
quality_eval_0256,256,True,harvest_before_sowing
quality_eval_0257,257,False,none
quality_eval_0258,258,False,none
quality_eval_0259,259,False,none
quality_eval_0260,260,False,none
quality_eval_0261,261,True,harvest_before_sowing
quality_eval_0262,262,True,missing_sensor_id
quality_eval_0263,263,False,none
quality_eval_0264,264,False,none
quality_eval_0265,265,False,none
quality_eval_0266,266,True,negative_rainfall
quality_eval_0267,267,True,invalid_humidity
quality_eval_0268,268,False,none
quality_eval_0269,269,True,invalid_ndvi
quality_eval_0270,270,False,none
quality_eval_0271,271,False,none
quality_eval_0272,272,True,invalid_soil_ph
quality_eval_0273,273,False,none
quality_eval_0274,274,True,harvest_before_sowing
quality_eval_0275,275,True,negative_rainfall
quality_eval_0276,276,False,none
quality_eval_0277,277,False,none
quality_eval_0278,278,True,invalid_ndvi
quality_eval_0279,279,False,none
quality_eval_0280,280,False,none
quality_eval_0281,281,False,none
quality_eval_0282,282,False,none
quality_eval_0283,283,True,malformed_timestamp
quality_eval_0284,284,False,none
quality_eval_0285,285,False,none
quality_eval_0286,286,False,none
quality_eval_0287,287,True,negative_rainfall
quality_eval_0288,288,False,none
quality_eval_0289,289,True,invalid_soil_moisture
quality_eval_0290,290,False,none
quality_eval_0291,291,False,none
quality_eval_0292,292,False,none
quality_eval_0293,293,True,missing_sensor_id
quality_eval_0294,294,False,none
quality_eval_0295,295,False,none
quality_eval_0296,296,False,none
quality_eval_0297,297,False,none
quality_eval_0298,298,False,none
quality_eval_0299,299,False,none
quality_eval_0300,300,True,missing_sensor_id
quality_eval_0301,301,False,none
quality_eval_0302,302,False,none
quality_eval_0303,303,False,none
quality_eval_0304,304,False,none
quality_eval_0305,305,True,invalid_soil_ph
quality_eval_0306,306,False,none
quality_eval_0307,307,False,none
quality_eval_0308,308,False,none
quality_eval_0309,309,False,none
quality_eval_0310,310,False,none
quality_eval_0311,311,True,harvest_before_sowing
quality_eval_0312,312,False,none
quality_eval_0313,313,False,none
quality_eval_0314,314,False,none
quality_eval_0315,315,False,none
quality_eval_0316,316,False,none
quality_eval_0317,317,False,none
quality_eval_0318,318,False,none
quality_eval_0319,319,False,none
quality_eval_0320,320,False,none
quality_eval_0321,321,True,invalid_soil_ph
quality_eval_0322,322,True,harvest_before_sowing
quality_eval_0323,323,False,none
quality_eval_0324,324,True,negative_rainfall
quality_eval_0325,325,False,none
quality_eval_0326,326,True,invalid_soil_moisture
quality_eval_0327,327,True,invalid_soil_ph
quality_eval_0328,328,False,none
quality_eval_0329,329,False,none
quality_eval_0330,330,True,missing_sensor_id
quality_eval_0331,331,False,none
quality_eval_0332,332,False,none
quality_eval_0333,333,False,none
quality_eval_0334,334,False,none
quality_eval_0335,335,False,none
quality_eval_0336,336,True,invalid_humidity
quality_eval_0337,337,False,none
quality_eval_0338,338,False,none
quality_eval_0339,339,False,none
quality_eval_0340,340,False,none
quality_eval_0341,341,True,malformed_timestamp
quality_eval_0342,342,True,missing_sensor_id
quality_eval_0343,343,False,none
quality_eval_0344,344,False,none
quality_eval_0345,345,False,none
quality_eval_0346,346,False,none
quality_eval_0347,347,False,none
quality_eval_0348,348,False,none
quality_eval_0349,349,False,none
quality_eval_0350,350,True,invalid_humidity
quality_eval_0351,351,False,none
quality_eval_0352,352,False,none
quality_eval_0353,353,False,none
quality_eval_0354,354,False,none
quality_eval_0355,355,False,none
quality_eval_0356,356,False,none
quality_eval_0357,357,False,none
quality_eval_0358,358,False,none
quality_eval_0359,359,True,invalid_ndvi
quality_eval_0360,360,False,none
quality_eval_0361,361,False,none
quality_eval_0362,362,False,none
quality_eval_0363,363,False,none
quality_eval_0364,364,False,none
quality_eval_0365,365,False,none
quality_eval_0366,366,False,none
quality_eval_0367,367,False,none
quality_eval_0368,368,True,invalid_ndvi
quality_eval_0369,369,False,none
quality_eval_0370,370,True,invalid_soil_moisture
quality_eval_0371,371,True,harvest_before_sowing
quality_eval_0372,372,False,none
quality_eval_0373,373,False,none
quality_eval_0374,374,True,missing_sensor_id
quality_eval_0375,375,False,none
quality_eval_0376,376,False,none
quality_eval_0377,377,False,none
quality_eval_0378,378,False,none
quality_eval_0379,379,False,none
quality_eval_0380,380,False,none
quality_eval_0381,381,False,none
quality_eval_0382,382,False,none
quality_eval_0383,383,False,none
quality_eval_0384,384,False,none
quality_eval_0385,385,True,invalid_humidity
quality_eval_0386,386,True,invalid_soil_ph
quality_eval_0387,387,False,none
quality_eval_0388,388,False,none
quality_eval_0389,389,False,none
quality_eval_0390,390,False,none
quality_eval_0391,391,False,none
quality_eval_0392,392,False,none
quality_eval_0393,393,True,invalid_humidity
quality_eval_0394,394,False,none
quality_eval_0395,395,False,none
quality_eval_0396,396,True,invalid_soil_ph
quality_eval_0397,397,True,negative_rainfall
quality_eval_0398,398,False,none
quality_eval_0399,399,False,none
quality_eval_0400,400,False,none
quality_eval_0401,401,True,invalid_ndvi
quality_eval_0402,402,False,none
quality_eval_0403,403,False,none
quality_eval_0404,404,True,malformed_timestamp
quality_eval_0405,405,False,none
quality_eval_0406,406,False,none
quality_eval_0407,407,True,invalid_ndvi
quality_eval_0408,408,False,none
quality_eval_0409,409,False,none
quality_eval_0410,410,True,missing_sensor_id
quality_eval_0411,411,False,none
quality_eval_0412,412,False,none
quality_eval_0413,413,False,none
quality_eval_0414,414,True,missing_sensor_id
quality_eval_0415,415,False,none
quality_eval_0416,416,False,none
quality_eval_0417,417,False,none
quality_eval_0418,418,False,none
quality_eval_0419,419,False,none
quality_eval_0420,420,True,negative_rainfall
quality_eval_0421,421,False,none
quality_eval_0422,422,False,none
quality_eval_0423,423,False,none
quality_eval_0424,424,True,invalid_soil_ph
quality_eval_0425,425,True,malformed_timestamp
quality_eval_0426,426,False,none
quality_eval_0427,427,True,invalid_humidity
quality_eval_0428,428,True,malformed_timestamp
quality_eval_0429,429,True,invalid_soil_ph
quality_eval_0430,430,True,negative_rainfall
quality_eval_0431,431,False,none
quality_eval_0432,432,False,none
quality_eval_0433,433,False,none
quality_eval_0434,434,False,none
quality_eval_0435,435,True,harvest_before_sowing
quality_eval_0436,436,True,negative_rainfall
quality_eval_0437,437,False,none
quality_eval_0438,438,False,none
quality_eval_0439,439,True,invalid_humidity
quality_eval_0440,440,False,none
quality_eval_0441,441,False,none
quality_eval_0442,442,False,none
quality_eval_0443,443,False,none
quality_eval_0444,444,True,invalid_soil_moisture
quality_eval_0445,445,False,none
quality_eval_0446,446,False,none
quality_eval_0447,447,True,invalid_humidity
quality_eval_0448,448,False,none
quality_eval_0449,449,True,invalid_ndvi
quality_eval_0450,450,True,invalid_soil_ph
quality_eval_0451,451,False,none
quality_eval_0452,452,False,none
quality_eval_0453,453,True,invalid_soil_ph
quality_eval_0454,454,False,none
quality_eval_0455,455,False,none
quality_eval_0456,456,False,none
quality_eval_0457,457,True,missing_sensor_id
quality_eval_0458,458,False,none
quality_eval_0459,459,True,invalid_ndvi
quality_eval_0460,460,False,none
quality_eval_0461,461,True,malformed_timestamp
quality_eval_0462,462,False,none
quality_eval_0463,463,True,harvest_before_sowing
quality_eval_0464,464,False,none
quality_eval_0465,465,False,none
quality_eval_0466,466,True,invalid_soil_moisture
quality_eval_0467,467,True,invalid_ndvi
quality_eval_0468,468,False,none
quality_eval_0469,469,False,none
quality_eval_0470,470,True,harvest_before_sowing
quality_eval_0471,471,False,none
quality_eval_0472,472,True,malformed_timestamp
quality_eval_0473,473,True,invalid_soil_ph
quality_eval_0474,474,False,none
quality_eval_0475,475,False,none
quality_eval_0476,476,False,none
quality_eval_0477,477,False,none
quality_eval_0478,478,False,none
quality_eval_0479,479,True,invalid_ndvi
quality_eval_0480,480,False,none
quality_eval_0481,481,False,none
quality_eval_0482,482,False,none
quality_eval_0483,483,False,none
quality_eval_0484,484,False,none
quality_eval_0485,485,True,invalid_soil_moisture
quality_eval_0486,486,True,missing_sensor_id
quality_eval_0487,487,True,invalid_soil_ph
quality_eval_0488,488,False,none
quality_eval_0489,489,False,none
quality_eval_0490,490,False,none
quality_eval_0491,491,False,none
quality_eval_0492,492,False,none
quality_eval_0493,493,True,invalid_soil_moisture
quality_eval_0494,494,False,none
quality_eval_0495,495,False,none
quality_eval_0496,496,True,malformed_timestamp
quality_eval_0497,497,True,invalid_soil_ph
quality_eval_0498,498,False,none
quality_eval_0499,499,True,invalid_humidity
